WRN 2026-07-25T20:07:29.937 ?.7        server_start:197: Failed to start server: operation not permitted: /run/user/1000/nvim.7.0
WRN 2026-07-25T20:07:29.987 ?.7        server_start:197: Failed to start server: operation not permitted: /run/user/1000/fzf-lua.1784990249.7.1
WRN 2026-07-25T20:07:39.997 ?.2        server_start:197: Failed to start server: operation not permitted: /run/user/1000/nvim.2.0
WRN 2026-07-25T20:07:40.039 ?.2        server_start:197: Failed to start server: operation not permitted: /run/user/1000/fzf-lua.1784990260.2.1
WRN 2026-07-25T20:07:54.693 ?.2        server_start:197: Failed to start server: operation not permitted: /run/user/1000/nvim.2.0
WRN 2026-07-25T20:07:54.748 ?.2        server_start:197: Failed to start server: operation not permitted: /run/user/1000/fzf-lua.1784990274.2.1
WRN 2026-07-25T20:09:31.837 ?.3        server_start:197: Failed to start server: operation not permitted: /run/user/1000/nvim.3.0
WRN 2026-07-25T20:09:31.896 ?.3        server_start:197: Failed to start server: operation not permitted: /run/user/1000/fzf-lua.1784990371.3.1
WRN 2026-07-25T20:17:23.331 ?.3        server_start:197: Failed to start server: operation not permitted: /run/user/1000/nvim.3.0
WRN 2026-07-25T20:17:28.129 ?.3        server_start:197: Failed to start server: operation not permitted: /run/user/1000/nvim.3.0
WRN 2026-07-25T20:26:05.951 ?.2        server_start:197: Failed to start server: operation not permitted: /run/user/1000/nvim.2.0
WRN 2026-07-25T20:26:06.032 ?.2        server_start:197: Failed to start server: operation not permitted: /run/user/1000/fzf-lua.1784991366.2.1
WRN 2026-07-25T20:26:12.570 ?.2        server_start:197: Failed to start server: operation not permitted: /run/user/1000/nvim.2.0
